  n size    역정렬      순정렬        랜덤
     0    0.000000    0.000000    0.000000
    10    0.000000    0.000000    0.000001
    20    0.000000    0.000000    0.000001
    30    0.000001    0.000000    0.000002
    40    0.000001    0.000000    0.000003
    50    0.000002    0.000000    0.000003
    60    0.000003    0.000000    0.000005
    70    0.000006    0.000000    0.000007
    80    0.000008    0.000000    0.000008
    90    0.000010    0.000000    0.000009
   100    0.000012    0.000000    0.000011
   200    0.000047    0.000001    0.000031
   300    0.000103    0.000001    0.000065
   400    0.000185    0.000001    0.000108
   500    0.000282    0.000001    0.000161
   600    0.000408    0.000002    0.000222
   700    0.000564    0.000002    0.000309
   800    0.000737    0.000002    0.000402
   900    0.000935    0.000003    0.000497
  1000    0.001166    0.000003    0.000610
